workload,name,RunTime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK,Return=ERROR,threads,interval
workloada,baseline,4148.0,24108.00385728062,20390.0,41.0146640510054,34.0,6443.0,50.0,81.0,20390.0,29651.0,16,550
workloada,alaska,3689.0,27107.617240444564,20607.0,36.73120784199544,27.0,7883.0,52.0,84.0,20607.0,29418.0,32,550
workloada,alaska,5005.0,19980.01998001998,20680.0,49.888007736943905,38.0,14327.0,61.0,95.0,20680.0,29514.0,32,550
workloada,baseline,4849.0,20622.808826562177,20544.0,48.18701323987539,34.0,22847.0,55.0,88.0,20544.0,29434.0,32,550
workloada,baseline,4163.0,24021.138601969735,20476.0,40.64416878296542,34.0,405.0,50.0,82.0,20476.0,29416.0,32,550
workloada,alaska,4170.0,23980.815347721822,20413.0,40.96320971929653,33.0,1912.0,52.0,87.0,20413.0,29498.0,1,650
workloada,alaska,3432.0,29137.529137529138,20447.0,35.86359857191764,27.0,26703.0,49.0,84.0,20447.0,29629.0,1,650
workloada,baseline,4495.0,22246.94104560623,20720.0,44.467036679536676,33.0,19119.0,52.0,85.0,20720.0,29504.0,1,650
workloada,baseline,4772.0,20955.574182732606,20341.0,48.23224030283664,32.0,22863.0,60.0,86.0,20341.0,29559.0,1,650
workloada,alaska,4116.0,24295.432458697764,20470.0,41.662530532486564,33.0,14271.0,54.0,90.0,20470.0,29392.0,2,650
workloada,alaska,4209.0,23758.61249703017,20420.0,42.04936336924584,33.0,14295.0,53.0,85.0,20420.0,29688.0,2,650
workloada,baseline,4552.0,21968.365553602813,20439.0,44.943735016390235,31.0,14399.0,57.0,90.0,20439.0,29355.0,2,650
workloada,baseline,3547.0,28192.8390188892,20824.0,34.40808682289666,25.0,659.0,48.0,75.0,20824.0,29452.0,2,650
workloada,alaska,3327.0,30057.10850616171,20733.0,33.40929918487436,27.0,14183.0,45.0,88.0,20733.0,29154.0,4,650
workloada,alaska,4751.0,21048.20037886761,20759.0,48.753745363456815,32.0,23119.0,68.0,89.0,20759.0,29712.0,4,650
workloada,baseline,3956.0,25278.058645096058,20691.0,39.55086752694408,31.0,22767.0,49.0,78.0,20691.0,29383.0,4,650
workloada,baseline,3356.0,29797.377830750895,20295.0,33.53658536585366,24.0,16719.0,42.0,77.0,20295.0,29689.0,4,650
workloada,alaska,3799.0,26322.716504343247,20703.0,37.97995459595228,26.0,14495.0,51.0,92.0,20703.0,29502.0,8,650
workloada,alaska,3355.0,29806.259314456034,20462.0,33.041442674225394,26.0,1644.0,44.0,87.0,20462.0,29595.0,8,650
